Lat,Lon,Area
29.124881,48.124783,"Ahmadi, Abu Halifa, Block 1"
29.133497,48.122279,"Ahmadi, Abu Halifa, Block 2"
29.12723,48.133993,"Ahmadi, Abu Halifa, Block 3"
28.847561,47.896533,"Ahmadi, Ahmadi Governorate Desert, Block 1"
29.182479,47.858617,"Ahmadi, Al shadadyia Industrial, Block 1"
29.181722,48.115727,"Ahmadi, Al-Fintas, Block 1"
29.174679,48.11794,"Ahmadi, Al-Fintas, Block 2"
29.167916,48.118202,"Ahmadi, Al-Fintas, Block 3"
29.163316,48.115785,"Ahmadi, Al-Fintas, Block 4"
29.170572,48.123375,"Ahmadi, Al-Fintas, Block 5"
28.572686,48.377334,"Ahmadi, Al-Nuwaiseeb, Block 1"
28.952433,48.145471,"Ahmadi, Ali Subah Al-Salem, Block 1"
28.946112,48.149003,"Ahmadi, Ali Subah Al-Salem, Block 2"
28.959273,48.142143,"Ahmadi, Ali Subah Al-Salem, Block 3"
28.950212,48.159237,"Ahmadi, Ali Subah Al-Salem, Block 4"
28.957936,48.164913,"Ahmadi, Ali Subah Al-Salem, Block 5"
28.954377,48.155348,"Ahmadi, Ali Subah Al-Salem, Block 6"
28.960111,48.152569,"Ahmadi, Ali Subah Al-Salem, Block 7"
28.966089,48.14772,"Ahmadi, Ali Subah Al-Salem, Block 8"
28.96678,48.157638,"Ahmadi, Ali Subah Al-Salem, Block 9"
29.171309,48.066143,"Ahmadi, Dhaher, Block 1"
29.165111,48.070051,"Ahmadi, Dhaher, Block 2"
29.157817,48.073614,"Ahmadi, Dhaher, Block 3"
29.157521,48.067294,"Ahmadi, Dhaher, Block 4"
29.163407,48.062528,"Ahmadi, Dhaher, Block 5"
29.169616,48.058775,"Ahmadi, Dhaher, Block 6"
29.083572,48.077435,"Ahmadi, East Ahmadi, Block 1"
29.089894,48.093447,"Ahmadi, East Ahmadi, Block 10"
29.076934,48.075703,"Ahmadi, East Ahmadi, Block 2"
29.075898,48.07959,"Ahmadi, East Ahmadi, Block 3"
29.069793,48.091322,"Ahmadi, East Ahmadi, Block 5"
29.076064,48.090574,"Ahmadi, East Ahmadi, Block 6"
29.081705,48.093448,"Ahmadi, East Ahmadi, Block 7"
29.08162,48.084197,"Ahmadi, East Ahmadi, Block 8"
29.085947,48.08467,"Ahmadi, East Ahmadi, Block 9"
29.179831,48.1069,"Ahmadi, Egaila, Block 1"
29.174155,48.106785,"Ahmadi, Egaila, Block 2"
29.165802,48.106479,"Ahmadi, Egaila, Block 3"
29.177929,48.096098,"Ahmadi, Egaila, Block 4"
29.171381,48.096459,"Ahmadi, Egaila, Block 5"
29.162931,48.097459,"Ahmadi, Egaila, Block 6"
29.131461,48.109408,"Ahmadi, Fahad Al-Ahmad, Block 1"
29.130543,48.098853,"Ahmadi, Fahad Al-Ahmad, Block 2"
29.123802,48.110811,"Ahmadi, Fahad Al-Ahmad, Block 3"
29.12522,48.098515,"Ahmadi, Fahad Al-Ahmad, Block 4"
29.087308,48.11828,"Ahmadi, Fahaheel, Block 1"
29.088137,48.134386,"Ahmadi, Fahaheel, Block 10"
29.081716,48.137035,"Ahmadi, Fahaheel, Block 11"
29.076546,48.138788,"Ahmadi, Fahaheel, Block 12"
29.072109,48.142717,"Ahmadi, Fahaheel, Block 13"
29.085072,48.14026,"Ahmadi, Fahaheel, Block 14"
29.082114,48.120775,"Ahmadi, Fahaheel, Block 2"
29.075836,48.121094,"Ahmadi, Fahaheel, Block 3"
29.078196,48.115508,"Ahmadi, Fahaheel, Block 4"
29.072289,48.118902,"Ahmadi, Fahaheel, Block 5"
29.073506,48.131617,"Ahmadi, Fahaheel, Block 6"
29.078007,48.130014,"Ahmadi, Fahaheel, Block 7"
29.08212,48.127516,"Ahmadi, Fahaheel, Block 8"
29.08792,48.126389,"Ahmadi, Fahaheel, Block 9"
29.153933,48.091217,"Ahmadi, Hadiya, Block 1"
